"year","lat","lon","sitenum","zonenum","cover","speciesnum","phylum","class","genus","species","spectype","specgroup","spectroph","covertype","development","pldDays","chla_mean","chla_std","filter_chla_mean","filter_chla_n","filter_chla_std","sst_mean","sst_std","filter_sst_mean","filter_sst_n","filter_sst_std","upw_mean","upw_std","filter_upw_mean","filter_upw_n","filter_upw_std","mytilus.rec"
1999,39.272500038147,-123.7975025177,24,2,32.7667,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,1.02482089911824,0.781241500984185,0.855416002511978,125,0.398512659000643,11.415221780859,1.30969705759142,11.1875000144496,330,0.957534434739685,94.7017788887024,121.214884384246,72.5878347396851,20,92.2389545324491,0
1999,39.3400001525879,-123.819999694824,23,2,39.6333,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,1.09050819741898,0.863434700732447,0.883716815604573,113,0.423278414614809,11.3594026621816,1.26454868376344,11.1067953109741,298,0.904550734913901,94.7017788887024,121.214884384246,72.5878347396851,20,92.2389545324491,0
1999,39.4149990081787,-123.809997558594,22,2,0.2667,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,1.18831395305866,0.964655937099541,0.937215189767789,79,0.466385339850352,11.3096000035604,1.22760554407677,11.0722679692114,334,0.914028804941002,94.7017788887024,121.214884384246,72.5878347396851,20,92.2389545324491,0
1999,39.5974988937378,-123.779998779297,21,2,46.5667,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,1.48062886558857,1.83433485177098,1.078637360544,91,0.672373333978497,11.251666653951,1.19016686129833,11.1098484752154,198,0.965360062973576,93.6817865868409,165.067129137466,121.221494902264,22,143.25454327328,0
1999,40.0200004577637,-124.073333740234,20,2,22.6,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,1.31794736636312,1.89203815912173,0.929933334721459,90,0.487906733658717,11.2768156248764,1.3551330338089,11.1646634370853,312,1.07755796590722,93.6817865868409,165.067129137466,121.221494902264,22,143.25454327328,0
1999,41.060001373291,-124.150001525879,19,2,26.8667,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,3.16024812719876,4.83511857804057,2.11167999458313,125,1.73552256451134,10.8148304809958,1.3465802750595,10.49518023464,319,0.892537971414785,74.612119803826,173.938680375538,79.0670449852943,20,140.695070170353,0
1999,43.2999992370605,-124.400001525879,18,2,47.8667,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,2.20359016051058,2.40328295325357,1.56724325171462,111,0.98597168629252,10.9271265243594,1.46991878136428,10.6274655762069,218,0.889090551520204,-32.7445004781087,154.067622245615,-1.30854519930753,11,118.474025218659,10.1620356075976
1999,43.310001373291,-124.393333435059,17,2,30.7,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,2.20359016051058,2.40328295325357,1.56724325171462,111,0.98597168629252,10.9271265243594,1.46991878136428,10.6274655762069,218,0.889090551520204,-32.7445004781087,154.067622245615,-1.30854519930753,11,118.474025218659,10.2549239332888
1999,43.3300018310547,-124.374000549316,16,2,26.7667,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,2.10281818183986,2.31382844735836,1.52938614800425,101,0.918216461406942,10.997763128448,1.47657137473895,10.687647620524,254,0.883970802257632,-32.7445004781087,154.067622245615,-1.30854519930753,11,118.474025218659,10.3558366430371
1999,44.2000007629395,-124.110000610352,15,2,42.3,75,"Mollusca","Bivalvia","Mytilus","californianus","Mussel","Invert","Susp","Percent","Plankfeed",9,4.80846297023473,5.97031806997248,3.33492929947497,99,2.91043510268233,10.9407426762282,1.67791114636571,10.3411874818802,200,1.07204742158756,-43.0202072461446,143.572483265992,-14.118407682939,22,111.512528780081,22.9035715861969
